,g1_symbol,g2_symbol,conn
156616,HNRNPH1,SMN1,0.2511404985285161
157610,HNRNPH2,SMN1,0.8606552479172933
157769,HNRNPH3,SMN1,0.2511404985285161
159999,HNRNPU,SMN1,0.1080838938865498
161126,HOXC4,SMN1,0.1080838938865498
166715,HSPB1,SMN1,0.2511404985285161
172147,SP110,SMN1,0.1080838938865498
173315,IGHM,SMN1,0.1080838938865498
173721,IKBKB,SMN1,0.2511404985285161
182003,KIF5A,SMN1,0.1080838938865498
183279,KPNB1,SMN1,0.9545987452731935
190113,LGALS1,SMN1,0.2511404985285161
202066,MECP2,SMN1,0.1080838938865498
202855,MAP3K5,SMN1,0.3233796633819616
205672,MKI67,SMN1,0.1080838938865498
208599,MPP1,SMN1,0.1080838938865498
209130,MSH2,SMN1,0.1080838938865498
209314,MSH5,SMN1,0.1080838938865498
214776,MYO6,SMN1,0.4849947661924665
216589,NCBP1,SMN1,0.5915642854822054
224889,NGFR,SMN1,0.1080838938865498
224971,SNU13,SMN1,0.1080838938865498
226095,NONO,SMN1,0.2511404985285161
226366,NOS2,SMN1,0.2511404985285161
227613,NPM1,SMN1,0.2511404985285161
233430,P2RY6,SMN1,0.6116250705376904
233703,P4HA1,SMN1,0.2511404985285161
238874,PDHA1,SMN1,0.4201912082140011
241304,PFN2,SMN1,0.4849947661924665
244681,PKM,SMN1,0.1080838938865498
248288,POLR2A,SMN1,0.9150573865114298
254327,PPP4C,SMN1,0.2511404985285161
255232,PRKAA2,SMN1,0.2511404985285161
258739,MAPK11,SMN1,0.1080838938865498
265392,PSME1,SMN1,0.1080838938865498
267610,PTPN9,SMN1,0.2511404985285161
268041,PTPRA,SMN1,0.4201912082140011
269985,QARS1,SMN1,0.1080838938865498
270569,RAB5A,SMN1,0.2511404985285161
270922,RAB27A,SMN1,0.6116250705376904
274013,RBBP4,SMN1,0.1080838938865498
274341,RBBP6,SMN1,0.1080838938865498
276806,RET,SMN1,0.2511404985285161
278162,RN7SL1,SMN1,0.2511404985285161
278255,RNF2,SMN1,0.2511404985285161
282438,RPL6,SMN1,0.2511404985285161
282724,RPL7,SMN1,0.2511404985285161
283630,RPL10,SMN1,0.2511404985285161
284377,RPL13,SMN1,0.3233796633819616
289564,RPS2,SMN1,0.1080838938865498
295177,RXRA,SMN1,0.1080838938865498
299241,SFPQ,SMN1,0.2511404985285161
299801,SRSF3,SMN1,0.2511404985285161
300035,SRSF5,SMN1,0.4201912082140011
304802,SMARCB1,SMN1,0.1080838938865498
7,A1BG,SMN2,0.1080838938865498
120,A2M,SMN2,0.147265801868792
3273,ACTB,SMN2,0.1080838938865498
15486,APEX1,SMN2,0.2511404985285161
18006,APLP1,SMN2,0.1080838938865498
29408,ATP5F1B,SMN2,0.1080838938865498
